ticker,price,market_cap,shares,pe,pb,peg,ev_ebitda,p_fcf,roe,roa,roic,debt_equity,total_debt,cash,ttm_fcf,fcf_growth,op_margins,profit_margins,name,sector,industry,dcf_value,margin_of_safety,s_pe,s_pfcf,s_ev_ebitda,s_pb,s_peg,fund_score,s_roe,s_roa,s_margin,s_debt,s_fcf_pos,qual_score,dcf_score,composite,rank
ALL,206.37,54003253248,260100000,5.423653,1.8764833,,4.603,6.192323500515996,0.39518002,0.064899996,,0.24486,7489999872.0,5565000192.0,8721000000.0,0.22269730973970092,0.29017,0.15191,Allstate,Financials,Property & Casualty Insurance,1062.56,0.8058,1.0,0.905016447368421,0.9774011299435029,0.5599999999999999,,0.860604394327981,0.0821917808219178,0.19570135746606332,0.5813675213675213,0.7636363636363637,1.0,0.5245794046583733,0.9029,0.7935163891793867,11
FOX,52.25,24393117696,224702222,12.529976,2.0333111,,7.897,8.150056029401938,0.16823,0.0881,,0.67389,7495000064.0,2016999936.0,2993000000.0,0.2381074622807049,0.11347,0.11407,Fox Corporation (Class B),Communication Services,Broadcasting,425.97,0.8773,0.7698135198135198,0.8618421052631577,0.8231392778187178,0.5594202898550724,,0.7535537981876168,0.5161892901618929,0.2864219114219114,0.7137681159420289,0.5140495867768594,1.0,0.6060857808605385,0.93865,0.7907252745808006,12
PHM,140.02,26929752064,192141567,12.591727,2.0781264,,8.789,15.401340474557815,0.17673999,0.10585,,0.18453,2396206080.0,1980868992.0,1748533000.0,0.4652682118091842,0.16305,0.12816,PulteGroup,Consumer Discretionary,Homebuilding,319.44,0.5617,1.0,0.784434490481523,0.9152542372881357,0.7677777777777777,,0.8668666263868592,0.726027397260274,0.43971631205673756,0.3880876068376068,0.9174447174447173,1.0,0.6942552067198671,0.78085,0.7893071209153675,13
UHS,230.49,14668082176,55233701,10.965271,2.0086799,,7.644,13.058132020999011,0.20028,0.08218,,0.70037,5110921216.0,112895000.0,1123291000.0,2.4218324669280342,0.11605,0.08093,Universal Health Services,Health Care,Health Care Facilities,628.22,0.6331,0.9815850815850816,0.8755771006463527,0.9322033898305084,0.7213333333333334,,0.877674726348819,0.3733499377334994,0.32478632478632474,0.713034188034188,0.5001652892561984,1.0,0.5822671479620422,0.81655,0.7793729412125973,14
FOXA,57.02,24256083968,200693856,13.673861,2.218936,,8.471,8.104271289007684,0.16823,0.0881,,0.67389,7495000064.0,2016999936.0,2993000000.0,0.2381074622807049,0.11347,0.11407,Fox Corporation (Class A),Communication Services,Broadcasting,476.93,0.8804,0.6777389277389277,0.9078947368421052,0.7347089167280766,0.5153623188405797,,0.7089262250374223,0.5161892901618929,0.2864219114219114,0.7137681159420289,0.5140495867768594,1.0,0.6060857808605385,0.9401999999999999,0.7757256239782324,15
CRM,185.16,176272326656,937000000,24.688,2.9059749,,14.728,14.176638785266206,0.12184,0.059499998,,0.19385000000000002,11635000320.0,11322999808.0,12434000000.0,0.3301789905705035,0.23862,0.17913,Salesforce,Information Technology,Application Software,468.62,0.6049,0.7084304584304585,0.8336606441476827,0.7199705232129697,0.7930516431924882,,0.7637783172458998,0.6880927291886196,0.6093406593406594,0.5149873600577826,0.7931818181818182,1.0,0.721120513353776,0.80245,0.7685825393745089,16
TRV,304.93,68018728960,216237902,11.112609,2.0162394,,7.755,6.4132310918348105,0.20698999,0.03711,,0.28917000000000004,9511999488.0,6425999872.0,10606000000.0,0.17939974947121717,0.25893,0.12878,Travelers Companies (The),Financials,Property & Casualty Insurance,1312.06,0.7676,0.8244444444444444,0.8891858552631579,0.7966101694915254,0.4933333333333333,,0.7508934506331152,0.2876712328767123,0.40422322775263947,0.6083760683760684,0.690909090909091,1.0,0.5982359239829023,0.8837999999999999,0.7658916887173159,17
HIG,142.19,39656833024,276900000,10.674926,2.1116805,,7.45,6.880089004857738,0.21656,0.03719,,0.23031,4370999808.0,4486000128.0,5764000000.0,0.13329488527775757,0.19920999,0.13522,Hartford (The),Financials,Property & Casualty Insurance,469.88,0.6974,0.8649572649572649,0.8416940789473685,0.864406779661017,0.4533333333333333,,0.7560978642247459,0.2465753424657534,0.38932880844645545,0.7434188034188035,0.8363636363636364,1.0,0.6431373181389297,0.8487,0.7648985820133936,18
CTSH,65.03,31386499072,478246920,14.260964,2.0745206,,7.919,12.094990008477842,0.15158,0.102290004,,0.07819,1174000000.0,1914000000.0,2595000000.0,0.05088498682960241,0.15995,0.10564999,Cognizant,Information Technology,IT Consulting & Other Services,88.79,0.2676,0.9846542346542346,0.8941476826394344,0.9557848194546793,0.8929577464788732,,0.9318861208068054,0.6413066385669126,0.3489010989010989,0.6861682918020946,0.9045454545454545,1.0,0.7161842967631122,0.6338,0.7587262164731599,19
AIZ,224.31,11318505472,50081110,13.24144,1.9022218,,7.6,10.18400708295843,0.15899,0.02149,,0.38844999999999996,2280800000.0,2213600000.0,1111400000.0,0.2320307688200549,0.101210006,0.0681,Assurant,Financials,Multi-line Insurance,732.12,0.6936,0.7299145299145299,0.6675575657894737,0.8418079096045198,0.5333333333333334,,0.6931533346604641,0.410958904109589,0.6127450980392157,0.9594871794871794,0.5636363636363637,1.0,0.7093655090544695,0.8468,0.7586650443947798,20
PAYC,114.71,6298280448,54800000,14.196782,3.5401044,,9.22,18.711468948306596,0.27417,0.05268,,0.05215,90300000.0,370000000.0,336600000.0,0.20334865607928432,0.28863,0.22099,Paycom,Industrials,Human Resource & Employment Services,187.24,0.3874,0.9743589743589743,0.8947368421052632,0.9608865710560625,0.8075949367088607,,0.9093943310572902,0.4339085571962284,0.6923076923076924,0.08974358974358974,0.9732057416267943,1.0,0.6378331161748609,0.6937,0.7552262949137668,21
BIIB,192.03,28182040576,146758528,21.846416,1.544084,,8.609,14.311416095876497,0.07394,0.0614,,0.36466,6657600000.0,3815699968.0,1969200000.0,0.19946811353580007,0.19641,0.13071999,Biogen,Health Care,Biotechnology,372.65,0.4847,0.7053613053613054,0.8400277008310248,0.8305084745762712,0.8564444444444445,,0.8080854813032615,0.7603985056039851,0.49358974358974356,0.49358974358974356,0.7408264462809917,1.0,0.6976808878128928,0.7423500000000001,0.7541901404093647,22
EPAM,138.85,7733516800,55242618,21.198473,2.049356,,9.008,14.673992357055303,0.10335,0.07554,,0.03907,143704000.0,1296077056.0,527022000.0,0.045756542225154684,0.11881,0.06921,EPAM Systems,Information Technology,IT Consulting & Other Services,170.97,0.1878,0.8465423465423466,0.8185388845247448,0.9410464259395726,0.9072300469483567,,0.8783394259887551,0.7192834562697576,0.5225274725274726,0.828819068255688,0.9681818181818181,1.0,0.8077623630469473,0.5939,0.746919389857801,23
MET,79.1,52118327296,655300000,16.342974,1.8253565,,14.965,3.570237518564187,0.12020001,0.00458,,2.25974,65353998336.0,28234999808.0,14598000000.0,0.05741135653211882,0.0467,0.04384,MetLife,Financials,Life & Health Insurance,311.51,0.7461,0.48683760683760674,0.9683388157894737,0.3898305084745763,0.6,,0.6112517327754142,0.6301369863013698,0.9404223227752639,0.9864957264957265,0.0727272727272727,1.0,0.7259564616599266,0.87305,0.7446472218863767,24
VICI,30.09,32160534528,1068811371,11.441064,1.162135,,13.563,13.547141469233841,0.10357001,0.05009,,0.62925,17680156672.0,507503008.0,2373972000.0,0.3848554964896087,0.97673,0.70175004,Vici Properties,Real Estate,Hotel & Resort REITs,62.43,0.518,1.0,0.8874269005847952,0.9343903772553307,0.9019354838709678,,0.9309381904277734,0.2759295499021526,0.11786600496277914,0.019851116625310174,0.8545454545454545,1.0,0.4536384252071393,0.759,0.7428379729515056,25
BLDR,110.55,12224684032,110580581,20.97723,2.8089032,,12.445,8.192812544274165,0.10064,0.04504,,1.17187,5100271104.0,181752992.0,1492123000.0,-0.00520299397276669,0.0184,0.02865,Builders FirstSource,Industrials,Building Products,126.04,0.1229,0.8333333333333333,1.0,0.8956975228161668,0.9102109704641351,,0.9098104566534088,0.8683508272549368,0.7948717948717949,0.9615384615384616,0.22296650717703353,1.0,0.7695455181684454,0.56145,0.7354000393708043,26
PGR,204.08,119631699968,586100000,10.618107,3.9445658,,7.868,8.064695966563301,0.40448,0.079229996,,0.22745,6896999936.0,10005000192.0,14834000000.0,0.25424236689170887,0.16497,0.12903,Progressive Corporation,Financials,Property & Casualty Insurance,899.74,0.7732,0.8784615384615385,0.7783717105263158,0.7740112994350282,0.21333333333333332,,0.661044470439054,0.0684931506849315,0.1510180995475113,0.837948717948718,0.8545454545454546,1.0,0.582401084545323,0.8866,0.7316058357899997,27
CB,331.62,130509332480,391101227,12.918582,1.7584363,,10.834,8.065092848844396,0.14337,0.032309998,,0.25256,20149000192.0,7310000128.0,16182000000.0,0.13215562072103082,0.25537002,0.17131001,Chubb Limited,Financials,Property & Casualty Insurance,896.07,0.6299,0.7704273504273504,0.7625411184210527,0.5932203389830508,0.6266666666666667,,0.6882138686245303,0.4931506849315069,0.4340120663650075,0.6353846153846154,0.7272727272727273,1.0,0.6579640187907714,0.8149500000000001,0.7313458587162784,28
POOL,221.62,8270416896,37249484,20.20237,6.877909,,15.189,13.790693661936603,0.33058998,0.103690006,,1.2951300000000001,1535031040.0,104963000.0,599710000.0,0.29548447881325957,0.052950002,0.07683,Pool Corporation,Consumer Discretionary,Distributors,530.57,0.5823,0.7798216276477147,0.8491041433370661,0.6398305084745763,0.5144444444444445,,0.6958001809759503,0.5342465753424658,0.46126568466993995,0.8733974358974359,0.5321867321867322,1.0,0.6802192856193148,0.79115,0.7300448847464114,29
CINF,163.0,25431017472,155418513,10.737813,1.5919989,,7.697,9.680630937190712,0.16036,0.04892,,0.05567999999999999,886000000.0,1579000064.0,2627000000.0,0.1014349499736038,0.27596,0.18945,Cincinnati Financial,Financials,Property & Casualty Insurance,339.64,0.5201,0.837948717948718,0.6833881578947368,0.8192090395480227,0.68,,0.7551364788478695,0.3972602739726027,0.2850678733031674,0.5948717948717949,0.9454545454545455,1.0,0.644530897520422,0.76005,0.7294504919768598,30
PYPL,41.65,38969905152,920664542,7.6987066,1.89172,,6.049,7.003936943206327,0.25732002,0.048800003,,0.6070300000000001,12295999488.0,10421999616.0,5564000000.0,0.028980365440431477,0.17485,0.15775,PayPal,Financials,Transaction & Payment Processing Services,86.5,0.5185,0.9864957264957265,0.8258634868421053,0.9322033898305084,0.5466666666666667,,0.8228073174587518,0.17808219178082194,0.2999622926093514,0.7839316239316239,0.4181818181818182,1.0,0.5360315853007231,0.75925,0.7256904574357439,31
ZBRA,255.41,12939131904,49191704,31.261934,3.5302494,,15.367,15.570555841155235,0.116809994,0.06072,,0.7516700000000001,2696999936.0,125000000.0,831000000.0,0.26245815108786386,0.15051,0.077649996,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,544.71,0.5311,0.5703185703185703,0.7882953652788689,0.7052321296978629,0.7645070422535211,,0.7070882768872058,0.7036880927291886,0.5948717948717949,0.7574936800288913,0.3795454545454546,1.0,0.6871198044350658,0.76555,0.7254808480192884,32
WRB,71.08,27011905536,377156000,15.973035,2.7555728,,10.635,7.56054673255438,0.19600001,,,0.31481000000000003,3086693120.0,3474322944.0,3572745000.0,0.19051877965686415,0.16360001,0.120979995,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,268.43,0.7352,0.5003418803418802,0.8100328947368421,0.615819209039548,0.3733333333333334,,0.574881829362901,0.31506849315068497,,0.8514529914529915,0.6363636363636364,1.0,0.7007212802418282,0.8675999999999999,0.7234289603374724,33
LULU,187.3,22211749888,112190041,13.025035,4.9053245,,7.732,14.027165395732567,0.41017,0.20285,,0.39155999999999996,1762793984.0,1035862016.0,1583481000.0,0.16767126794005294,0.16988,0.15720001,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",358.16,0.477,0.9779821627647715,0.8275475923852185,0.9576271186440678,0.6833333333333333,,0.8616225517818479,0.3424657534246575,0.07337697763229678,0.32478632478632474,0.7523341523341524,1.0,0.4985926416354863,0.7384999999999999,0.7216160535325183,34
FTV,58.28,18510405632,313400000,36.654087,2.8302255,,18.227,13.161551217292377,0.06396,0.03131,,0.4962,3206000128.0,375500000.0,1406400000.0,0.15570662727021456,0.20089,0.13926,Fortive,Industrials,Industrial Machinery & Supplies & Components,101.59,0.4263,0.3333333333333333,0.9736842105263158,0.5045632333767927,0.8973839662447257,,0.6772411858702919,0.9473403309019747,0.9487179487179487,0.28205128205128205,0.7722488038277513,1.0,0.7900716730997913,0.71315,0.71981233332955,35
L,109.77,22685020160,206052874,13.772899,1.2101601,,8.067,8.401859318518518,0.09431,0.019650001,,0.5022099999999999,9863999488.0,7171999744.0,2700000000.0,0.0057443817476718895,0.13076,0.09033,Loews Corporation,Financials,Multi-line Insurance,160.61,0.3166,0.675897435897436,0.7150493421052632,0.7514124293785311,0.8400000000000001,,0.7455898018453075,0.8493150684931506,0.6276395173453997,0.8919658119658119,0.5272727272727272,1.0,0.7792386250154179,0.6583,0.7190860868997121,36
FFIV,278.39,15815641088,56519273,23.04553,4.4758673,,16.754,17.448738300496686,0.20844,0.08091,,0.07566,267718000.0,1199734016.0,906406000.0,0.3037590726003483,0.26037002,0.22455,"F5, Inc.",Information Technology,Communications Equipment,583.24,0.5227,0.7851592851592851,0.7126865671641792,0.6315401621223286,0.6931455399061033,,0.705632888587974,0.5009483667017913,0.4791208791208791,0.4436619718309859,0.9204545454545454,1.0,0.6688371526216403,0.76135,0.718720799161201,37
UBER,73.86,153468551168,2058115983,15.615222,5.6480846,,24.988,15.719405015671413,0.39925998,0.061529998,,0.43805999999999995,12302000128.0,7632999936.0,9763000000.0,1.9253167244957807,0.12349,0.19326,Uber,Industrials,Passenger Ground Transportation,165.37,0.5534,0.9615384615384615,0.9473684210526315,0.20469361147327256,0.5767088607594938,,0.6725773387059649,0.22326988080412738,0.6025641025641026,0.6410256410256411,0.8124401913875597,1.0,0.6558599631562861,0.7767,0.7100470593361593,38
DAL,69.44,45353398272,653130708,9.065274,2.16324,,7.999,11.801560830601092,0.27693,0.04502,,1.02498,21373999104.0,4310000128.0,3843000000.0,,0.08930001,0.078990005,Delta Air Lines,Industrials,Passenger Airlines,68.13,-0.0193,1.0,0.9868421052631579,0.9739243807040417,0.9615189873417722,,0.980571368327243,0.42074363992172203,0.8076923076923077,0.8205128205128206,0.3435406698564593,1.0,0.6784978875966619,0.49035,0.7089644508137005,39
AOS,77.81,10760338432,112426758,20.21039,5.8019533,,13.247,19.707579545787546,0.29197,0.14257,,0.10974,203900000.0,193200000.0,546000000.0,0.19357792785343153,0.17951,0.1426,A. O. Smith,Industrials,Building Products,138.62,0.4387,0.8717948717948718,0.8289473684210525,0.8565840938722294,0.5510548523206751,,0.7770952966022072,0.39441380537270954,0.1282051282051282,0.43589743589743585,0.9464114832535886,1.0,0.5809855705457725,0.7193499999999999,0.7049697464472156,40
ACN,215.35,133546909696,615435159,17.79752,4.293091,,10.604,12.280898342155309,0.25016,0.11125,,0.25694,8201998848.0,9655311360.0,10874360000.0,0.07216179167121783,0.16974,0.107609995,Accenture,Information Technology,IT Consulting & Other Services,312.94,0.3118,0.8925796425796426,0.8790259230164965,0.8673544583640382,0.7074178403755867,,0.8365944660839411,0.3917808219178083,0.2765567765567765,0.6433730588660167,0.6818181818181818,1.0,0.5987057678317567,0.6559,0.7048445050873186,41
SNA,385.88,20068675584,51913121,20.118874,3.3741093,,14.133,19.954932468927115,0.18327999,0.10032,,0.21711,1293299968.0,1624099968.0,1005700000.0,0.19387902731569406,0.25397,0.19722,Snap-on,Industrials,Industrial Machinery & Supplies & Components,560.35,0.3114,0.8846153846153846,0.8026315789473684,0.8305084745762711,0.8589029535864979,,0.8441645979313804,0.6050524817648105,0.28205128205128205,0.15384615384615383,0.8794258373205742,1.0,0.5840751509965642,0.6557,0.7037563970251242,42
T,27.98,198362791936,7000577201,9.203947,1.7814847,,8.028,10.202797651270446,0.18805,0.040749997,,1.24179,159560007680.0,18233999360.0,19442000000.0,0.16182694896604244,0.18416001,0.17472,AT&T,Communication Services,Integrated Telecommunication Services,49.94,0.4397,0.9079254079254079,0.7697368421052632,0.7789240972733971,0.7356521739130434,,0.7980596303042778,0.35491905354919057,0.6777389277389277,0.3835005574136009,0.259504132231405,1.0,0.5351325341866249,0.71985,0.7010440041531534,43
CDW,124.64,16335411200,130193660,15.425743,6.2173886,,10.815,14.146887676452758,0.43018,0.069749996,,2.35609,6140199936.0,618700032.0,1154700000.0,0.19035753029004288,0.078150004,0.04756,CDW Corporation,Information Technology,Technology Distributors,207.8,0.4002,0.9693084693084694,0.8487824037706206,0.8378776713338245,0.5646948356807511,,0.8051658450234164,0.20463645943098,0.5659340659340659,0.8858793788371253,0.12500000000000003,1.0,0.5562899808404342,0.7001,0.7009205409683044,44
QCOM,142.88,152602296320,1067000000,28.806452,6.6508403,,11.294,11.903455251170048,0.2148,0.14047,,0.6421800000000001,14817000448.0,11822000128.0,12820000000.0,0.23330649006511273,0.27473,0.11958,Qualcomm,Information Technology,Semiconductors,396.2,0.6394,0.6010101010101009,0.9092694422623724,0.8231392778187178,0.5218779342723004,,0.7138241888408728,0.4853530031612224,0.17527472527472526,0.38660166124954853,0.4113636363636364,1.0,0.49171860520982646,0.8197,0.7006481173967621,45
VLO,200.76,62366441472,305009539,26.520473,2.577845,,9.706,10.797514105263158,0.082779996,,,0.39561,10581000192.0,4764000256.0,5776000000.0,0.11258428023521105,0.051859997,0.01914,Valero Energy,Energy,Oil & Gas Refining & Marketing,373.87,0.463,0.3094405594405594,0.949342105263158,0.5377503852080122,0.3551515151515153,,0.5379211412658113,0.9078455790784558,,1.0,0.5371900826446281,1.0,0.861258915430771,0.7315,0.6961871283007267,46
DECK,118.69,17298454528,141949971,16.859375,6.473765,,11.106,18.050209659916188,0.39688,0.19903,,0.13140000000000002,342881984.0,2086745984.0,958352000.0,0.9914915128868325,0.31384,0.19348,Deckers Brands,Consumer Discretionary,Footwear,250.87,0.5269,0.8899108138238573,0.7197648376259799,0.8305084745762712,0.5566666666666666,,0.7492126981731937,0.4246575342465754,0.09492635024549918,0.07158119658119658,0.9724815724815725,1.0,0.5127293307109687,0.76345,0.6957867770383599,47
SMCI,32.42,19419236352,598989428,23.664232,2.7771115,,18.76,12.673177328347396,0.13193,0.03418,,0.7528,5263713792.0,4106275072.0,1532310000.0,,0.0374,0.03111,Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals",39.05,0.1697,0.7391219891219891,0.8639041633935586,0.5431098010316874,0.835868544600939,,0.7455011245370435,0.6724973656480506,0.8553113553113553,0.957204767063922,0.36363636363636365,1.0,0.7697299703319384,0.58485,0.6872978861709498,48
MPC,196.76,59146547200,295000000,14.883509,3.4640236,,9.909,9.645555642530985,0.24292,,,1.43175,34203000832.0,2654000128.0,6132000000.0,0.2841069491060797,0.07023,0.03033,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,627.64,0.6865,0.7237762237762239,1.0,0.4915254237288136,0.17090909090909093,,0.5965526846035321,0.1706102117061021,,0.9079254079254079,0.1669421487603306,1.0,0.5613694420979601,0.84325,0.6864358001357262,49
WDAY,137.81,36795269120,213000000,58.147682,4.0974636,,27.433,16.809168168113295,0.073359996,0.03178,,0.42719,3792999936.0,6842999808.0,2189000000.0,0.16652441210312574,0.10855,0.06955,"Workday, Inc.",Information Technology,Application Software,278.63,0.5054,0.20202020202020204,0.742930086410055,0.3515106853352985,0.7216901408450703,,0.5045377786526565,0.8128556375131718,0.9131868131868132,0.8430841459010473,0.5545454545454546,1.0,0.8247344102292974,0.7526999999999999,0.6838518250857542,50
DIS,105.58,187234205696,1771519851,15.549337,1.7285811,,12.096,18.580351860275876,0.12024,0.04366,,0.40909,46640001024.0,5678000128.0,10077000000.0,1.1137596974046584,0.15361,0.128,Walt Disney Company (The),Communication Services,Movies & Entertainment,177.9,0.4065,0.6317016317016316,0.5394736842105263,0.5578481945467944,0.7797101449275361,,0.6271834138466221,0.6313823163138231,0.6317016317016317,0.6477146042363434,0.6760330578512396,1.0,0.7173663220206076,0.7032499999999999,0.6801557753514696,51
HII,437.57,17171423232,39242688,28.413637,3.3847737,,17.149,21.626477622166245,0.124239996,0.04023,,0.58762,2980999936.0,774000000.0,794000000.0,0.18102154775842583,0.05926,0.048460003,Huntington Ingalls Industries,Industrials,Aerospace & Defense,494.34,0.1148,0.6025641025641026,0.7894736842105263,0.5567144719687093,0.8460759493670885,,0.6987070520276066,0.789361323607899,0.8717948717948718,0.8974358974358975,0.6784688995215311,1.0,0.8474121984720397,0.5574,0.6793605178276723,52
AMP,471.69,43822694400,91300000,14.367651,6.5732517,,,6.827028259853559,0.60508,0.02266,,0.57597,3772000000.0,10096000000.0,6419000000.0,0.26051044077293173,0.35347998,0.18841,Ameriprise Financial,Financials,Asset Management & Custody Banks,2553.88,0.8153,0.6083760683760684,0.8575246710526315,,0.10666666666666666,,0.5241891353651222,0.027397260273972605,0.5382730015082956,0.35179487179487173,0.45454545454545453,1.0,0.4744021176245189,0.9076500000000001,0.6651267267839226,53
BR,177.02,20666857472,116748715,19.56022,7.174935,,13.598,19.56347734948883,0.41793,0.09175,,1.17175,3373700096.0,371500000.0,1056400000.0,0.41814010216390507,0.120249994,0.14864,Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,294.06,0.398,0.9102564102564102,0.8421052631578948,0.8435462842242503,0.42278481012658237,,0.7546731919412845,0.18377512898060844,0.3333333333333333,0.6538461538461539,0.23636363636363633,1.0,0.4814636505047464,0.6990000000000001,0.6641015298056362,54
KIM,23.17,15690586112,674093047,28.256098,1.5029839,,18.179,15.602882310532497,0.055370003,0.02243,,0.78597,8306011136.0,212794000.0,1005621000.0,0.17564751861179717,0.33007,0.27323,Kimco Realty,Real Estate,Retail REITs,27.75,0.1651,0.6623931623931624,0.8123781676413256,0.6391470749043192,0.8692473118279569,,0.7457914291916911,0.6741682974559687,0.67328370554177,0.3792390405293631,0.6727272727272726,1.0,0.6798836632508749,0.58255,0.6640179160298105,55
INCY,101.32,20164147200,199014486,15.806553,3.8912358,,11.556,15.165220425817388,0.2987,0.13571,,0.010629999999999999,54920000.0,3580603904.0,1329631000.0,0.1422764750896166,0.25572002,0.25026,Incyte,Health Care,Biotechnology,173.88,0.4173,0.9263403263403264,0.8044783010156972,0.711864406779661,0.4173333333333334,,0.7150040918672546,0.24433374844333744,0.0997150997150997,0.2741452991452991,0.9814876033057851,1.0,0.5199363501219043,0.70865,0.6636955196840151,56
